regulador	V2	regulado	especie	V5	FT
Solyc06g060490	regulates	Solyc08g068490	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g074250	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc08g074600	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g076440	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g076960	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc08g077510	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g078270	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc08g080580	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc08g081290	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g005210	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g005590	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g008020	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g008210	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g010000	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g011140	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g011190	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g014440	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g015230	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g016940	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g018360	Solanum lycopersicum	FunTFBS, motif	bZIP
Solyc06g060490	regulates	Solyc09g042770	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g055210	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g055860	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g056170	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g056450	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g057890	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g072850	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g074740	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g075280	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g082180	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g090530	Solanum lycopersicum	FunTFBS, motif	bZIP
Solyc06g060490	regulates	Solyc09g090770	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc09g091410	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc09g098170	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc10g006770	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc10g007380	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc10g012260	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc10g012410	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc10g018090	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc10g018100	Solanum lycopersicum	motif	bZIP
